APEX 日本人上位ランカーリスト 11/初旬,,,,
Rank,Player,アカウント名,langage,Twitter
116,LIC Denpride,DenprideLIC,e,
117,Dom2Cracked,Dom2Cracked,e,
118,yukoi AKUMA,YukoiMATE,J,
119,GoNext Mysi,GoNext_Mysi,e,
120,BulletL,,,
121,Awons,,,
122,Mejiro_Ramonu_L,,,
123,MatCha-MiIkT,,,
124,Fight47,,,
125,Fractolight,,,
126,DAMADAO,,,
127,JuyZi | Twitch,,,
128,KAI99JR,,,
129,983kuma,,,
130,TSM ImperialHal,,,
131,DOUYU_ckkongbai,,,
132,CJay,,,
133,Kruhmmy,,,
134,bilibili404,,,
135,IQXOrca,,,
136,NEKOBASU_GAMING,,,
137,moorecfgTV,,,
138,foryxan twitch,,,
139,BreeZioS,,,
140,9527_TTV,,,
141,Delphox,,,
142,Nayutage,,,
143,SimplyRoyalSmurf,,,
144,PVPX,,,
145,HabibiRicki-TT,,,
146,TayluSs,,,
147,OP Shex,,,
148,THESHY,,,
149,yTerrory,,,
150,Kuzmei,,,
